index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_misses,web_cache_ref,web_cpupercent,web_cs,web_disk,web_kvm_exit,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,index_prev
26,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.326,248428356.5,6168119,91001679,10.828,4396,9.999,15078,65858614,7059374,3004.867,3.811,13407778,4387,370849,0.001,;13,2,base,0.000001,189887,0.001,22.619,2,29.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
27,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.284,221614969,6937383,85891107,18.556,4825,31.002,18951,106100257,25850798.5,3005.191,161.327,29059644,4815,1306072.5,0.001,;13,2,base,0.201783,0.941045579,203.603,22.427,20,29.167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.891,26
28,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.284,217682960.5,8500086,92248390,10.892,8645,38.997,29470,71287942.5,9786349,3005.871,3.77,3821537,8637,340450,0.001,;14,2,base,0.000001,189887,0.001,21.88,2,26.981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
29,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.306,277367361,8860591,99471686,18.818,8466,4,31895,125755652,25794903.5,3006.008,157.966,10478232.5,8459,1107733.5,0.001,;14,2,base,0.196638,0.965667877,202.074,22.595,20,27.958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98.319,28
30,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.31,266388362.5,7883261.5,97333027,11.487,7912,114.992,25632,75184756.5,14330751.5,3010.688,3.878,63419428.5,7892,964211,0.001,;15,2,base,0.000001,189887,0.001,22.737,2,27.955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
31,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.305,238069201.5,9034436,89685572,19.136,7901,35.003,25923,115037325.5,31146360,3005.109,140.498,10000895,7892,2066485,0.001,;15,2,base,0.197443,0.961730727,202.063,25.18,20,30.038,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98.722,30
32,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.271,214329490,6804338.5,84012373,18.625,5110,59.994,16749,101574734.5,21421976,3014.43,151.773,86219911.5,5102,2253268,0.001,;16,2,base,0.197368,0.962096186,201.395,22.692,20,30.327,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98.684,
33,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.294,202563391,6138406,79245417,18.86,4333,44.001,15176,95856226,23482075.5,3007.203,147.623,65089441,4327,2552213.5,0.001,;17,2,base,0.194817,0.9746942,197.287,23.828,20,28.931,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.409,
34,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.303,216602624.5,6184618.5,90004885.5,10.696,4223,3,14554,48697919.5,6359921,3008.148,3.855,5620750,4211,274449,0.001,;18,2,base,0.000001,189887,0.001,24.458,2,30.286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
35,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.257,193261677,6408781,79248538.5,19.404,4661,32,17279,101872672.5,20896799.5,3007.816,146.903,46749410.5,4660,2566033.5,0.001,;18,2,base,0.198852,0.954916219,203.44,140.862,20,221.153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.426,34
