index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_missesweb_kvm_exit,web_cache_ref,web_cpupercent,web_cs,web_disk,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,interference_prev,index_prev
20,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.546,1288091756.0,24254596.0,399272201.5,91.293,18419,546.039,589222.5,228534032.5,80562604.0,11336.951,18.522,46033471.0,18419,6436022196.0,0.001,;15;17;2;11;18;12;16;12;7;15,2,base,0.116,0.681034482759,0.135,86.087,4,91.148,0.583,102858210.5,1292206.5,28855504.5,7.641,716,0.0,4506001.0,2919448.0,2048,0.956,43368,1567222.0,719,0.058,;15;17;2;11;18;12;16;12;7;15;1,735.0
21,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.285,475965051.5,22870475.0,203119488.0,61.749,23159,77.006,88995.0,433873285.5,105844411.0,5470.594,16.362,5509199.5,23163,35005483.5,0.001,;16;14;17;4;9,2,base,0.08,0.9875,0.081,68.66,6,72.915,0.364,43816886.5,1953311.5,18231061.0,9.153,1363,23.06,10975843.0,0.0,2048,2.466,12314,314393.0,1364,0.04,;16;14;17;4;9;1,440.0
22,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.316,564864869.5,24205791.5,225039334.5,69.629,24694,143.993,111543.0,461811872.0,128792713.0,6864.281,19.722,22552292.0,24688,306041284.0,0.001,;16;14;17;4;9;1,2,base,0.08,0.9875,0.081,119.792,6,124.131,0.274,39962906.0,2234779.0,17280393.0,9.185,1269,27.059,13414780.5,2658390.5,2048,2.564,12336,11831858.0,1279,0.04,;16;14;17;4;9;1;1,21.0
24,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.271,442354648.5,23253714.5,192589410.0,57.016,23440,1178.548,93358.0,417677809.0,104632851.5,6394.406,12.65,48182675.5,23440,93575166.0,0.001,;17;15;19;10;20;12,2,base,0.08,0.9875,0.081,191.659,6,197.088,0.557,64141778.5,564668.5,17172956.5,8.953,497,0.999,2312148.0,1501204.5,2048,2.036,4187,18931595.0,510,0.04,;17;15;19;10;20;12;1,586.0
25,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.366,668722225.0,25309954.5,254704905.0,78.856,24785,264.089,166959.0,393963184.0,117995391.0,7804.039,20.557,40840823.0,24779,948154127.5,0.001,;17;15;19;10;20;12;20,2,base,0.083,0.951807228916,0.084,43.038,6,47.298,0.349,49832299.5,1950781.5,18801103.0,8.593,1215,3.996,14191237.5,2987393.5,2048,1.862,17013,720952.0,1222,0.042,;17;15;19;10;20;12;20;1,1022.0
26,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.531,1091070265.0,21697431.0,340407815.5,89.358,17104,103.008,443674.0,234875282.5,79416029.5,10913.004,16.708,61782675.5,17098,4638300141.0,0.001,;17;15;19;10;20;12;20;10;6,2,base,0.081,0.975308641975,0.081,74.458,4,79.29,0.693,103498314.5,1706569.5,30369267.0,8.052,830,4.022,9598413.5,2973391.5,2048,1.016,50369,1526668.0,827,0.041,;17;15;19;10;20;12;20;10;6;1,311.0
27,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.275,371761364.0,16163916.5,149357568.0,54.237,15047,176.017,59123.0,291056081.0,60727933.0,4487.777,16.504,67036027.5,15040,21707447.0,0.001,;18;4;4;16,2,base,0.08,0.9875,0.081,92.865,6,97.434,0.308,40115931.0,2295667.5,22300932.5,9.086,1336,22.995,11127931.5,2010801.0,2048,2.038,12280,435273.0,1335,0.04,;18;4;4;16;1,802.0
28,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.345,592979544.0,23314410.5,226250011.0,80.296,21973,162.502,173220.0,375273224.0,109952327.0,7872.33,19.235,44588471.5,21973,1134239229.0,0.001,;18;4;4;16;1;14;6,2,base,0.08,0.9875,0.081,205.596,6,210.578,0.393,57354767.5,2427764.5,32543391.5,8.913,1285,27.845,18138489.0,5276399.0,2048,2.574,20391,6483683.5,1285,0.04,;18;4;4;16;1;14;6;1,312.0
29,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.516,1048268867.0,21375211.5,334641900.0,89.987,16340,166.982,433590.0,252342745.0,79762364.5,10740.037,17.872,36945852.5,16341,4827086858.0,0.001,;18;4;4;16;1;14;6;7;13,2,base,0.112,0.705357142857,0.137,61.773,4,66.277,0.723,110571857.5,1674728.0,25154701.0,7.519,772,0.0,11402700.5,4369897.5,2048,1.296,39547,17223576.5,820,0.056,;18;4;4;16;1;14;6;7;13;1,637.0
30,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.581,1217876992.0,20850390.0,370647370.5,93.244,14063,134.491,571802.0,182840074.0,62884894.0,12127.281,17.234,72674810.5,14074,6877238037.0,0.001,;18;4;4;16;1;14;6;7;13;6,2,base,0.108,0.731481481481,0.108,129.77,2,134.205,0.665,129650552.5,1444110.5,37641424.0,7.301,637,3.013,13280417.0,5290455.0,2048,0.13,66134,1178825.5,634,0.054,;18;4;4;16;1;14;6;7;13;6;1,313.0
31,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.338,564044978.5,22410829.0,222986586.0,75.906,21793,82.998,114762.0,383414653.0,101018647.0,6585.113,19.578,6141968.5,21788,400248061.0,0.001,;19;20;15;8;4;9,2,base,0.08,0.9875,0.082,100.656,6,104.854,0.353,46008920.0,1777676.0,20122170.0,8.812,1422,19.912,10558598.5,1675135.0,2048,2.156,14476,921600.0,1424,0.04,;19;20;15;8;4;9;1,444.0
