index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,index_prev
63,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.366,469560961.5,1968934,23727694.5,31.065,10991,9,27508,0,4810365,1375.938,6.131,128608363.5,10991,53351895.5,0.001,;12;16,2,base,0.000001,102828,0.001,20.754,2,27.142,0.001,
64,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.292,485081842,2877387,25594188,42.784,13520,48.999,36895,0,33379137.5,1363.086,216.264,10234222,13520,105318092.5,0.001,;12;16,2,base,0.115243,0.892271114,121.436,22.18,34,28.657,57.621,63
65,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.359,447624629.5,1973178.5,20928182,33.418,9740,54.006,25598,0,4983593,1365.316,5.858,57529966,9740,48907124.5,0.001,;13;20,2,base,0.000001,102828,0.001,20.977,2,27.069,0.001,
66,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.293,424214350.5,2728772,21975154.5,46.887,10510,9,26679,0,29278289.5,1356.434,180.233,48184483.5,10510,96947949,0.001,;13;20,2,base,0.133872,0.768106848,157.472,19.851,28,25.816,66.936,65
67,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.313,445663522.5,2170855.5,25326843.5,32.869,14171,51.998,35623,0,11107895,1345.023,5.577,27890997.5,14166,58766354.5,0.001,;14;19,2,base,0.000001,102828,0.001,20.139,2,25.564,0.001,
68,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.271,482283852.5,2935226,28911074,43.556,16899,33.999,43780,0,37540963,1348.215,194.143,4164694,16894,102669316,0.001,;14;19,2,base,0.139317,0.738086522,153.1,21.053,28,27.099,69.659,67
69,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.294,441472134.5,2274541.5,24608342,34.498,13967,946.998,35046,0,11810083,1359.77,6.254,18804954,13963,53249030.5,0.001,;15;2,2,base,0.000001,102828,0.001,22.629,2,28.073,0.001,
70,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.269,483376651,3043235,27801376.5,45.013,16046,44,43616,0,40933282,1352.809,198.718,92016147,16043,125143342.5,0.001,;15;2,2,base,0.126368,0.813718663,151.51,21.178,30,1033.313,63.184,69
71,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.327,404898354.5,2010488,22790717.5,30.735,10684,55.999,25016,0,4726299,1355.77,5.949,20483323,10685,61311133,0.001,;16;1,2,base,0.000001,102828,0.001,20.477,2,25.781,0.001,
72,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.271,432373155,2797817.5,25356894,43.192,13031,39.001,33306,0,30449294,1361.672,180.825,88725230.5,13031,92485017,0.001,;16;1,2,base,0.133672,0.76925609,149.633,20.365,30,25.539,66.836,71
73,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.311,387892154.5,2062858,21094621,34.722,9536,63.003,23227,0,6090700,1356.332,5.696,82062490,9535,56014046.5,0.001,;17;20,2,base,0.000001,102828,0.001,21.012,2,26.371,0.001,
74,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.272,393327788,2817658,22191744.5,47.694,10192,77.999,24300,0,30890650,1361.313,204.522,60879973.5,10190,110261683,0.001,;17;20,2,base,0.112552,0.913604378,119.783,23.404,34,28.685,56.276,73
75,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.317,384163343.5,1902281.5,21744725.5,32.975,10170,14.001,24535,0,4284291.5,1350.699,5.893,30192729.5,10169,52476512,0.001,;18;11,2,base,0.000001,102828,0.001,119.286,2,124.531,0.001,
76,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.27,396915263,2792202,22367206,45.397,11016,40.999,26725,0,29337453.5,1346.969,192.273,19353048,11016,97507190,0.001,;18;11,2,base,0.124297,0.827276604,148.739,22.327,30,27.752,62.148,75
77,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.313,390429780.8,2071945.5,22827992.5,31.861,10479,131.002,24748,0,5016921.25,1361.172,5.819,46131842,10478,75444881.5,0.001,;19;1,2,base,0.000001,102828,0.001,68.478,2,133.201,0.001,
78,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.267,416919693.5,2873454.5,24413493,43.365,12011,78.995,29878,0,29967251,1362.41,209.665,67121291,12009,96652653,0.001,;19;1,2,base,0.133655,0.769353934,150.182,21.063,28,26.43,66.828,77
79,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.322,444976783.5,2319492.5,21746777,39.607,10284,2815.299,43419,0,8955464.5,1372.242,6.396,52049237,10286,68115489,0.001,;20;3,2,base,0.000001,102828,0.001,127.141,2,133.855,0.001,
80,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.278,437927507.3,3017159.5,21779855,52.155,9950,75,41895,0,34253038.25,1402.992,224.996,33395175.5,9950,150176872.3,0.001,;20;3,2,base,0.124178,0.828069384,146.515,21.229,30,29.466,62.089,79
81,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.29,462413479.5,2600796,26153748,52.638,14023,2167.897,34099,0,14048415,1662.738,7.211,1581437597,14019,158162119.5,0.001,;1;4;4,2,base,0.000001,102828,0.001,20.108,2,25.987,0.001,
82,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.27,481399075,3431984.5,26241631,64.308,13372,315.001,35866,0,40823459.5,1666.895,185.374,144287938,13371,306961298,0.001,;1;4;4,2,base,0.140176,0.73356352,155.326,22.031,28,28.445,70.088,81
83,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.291,473587416,2425576.5,28913381,46.013,15440,24.999,38798,0,10829192.5,1670.152,6.778,652201560.5,15442,119180425,0.001,;2;10;17,2,base,0.000001,102828,0.001,20.683,2,26.573,0.001,
84,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.249,476012859.5,3400008,28416952,59.288,16382,70.002,45771,0,42788207,1675.754,227.111,11920312.5,16380,352435149,0.001,;2;10;17,2,base,0.138222,0.743933672,153.559,109.666,28,115.419,69.111,83
85,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.294,526921608,2486325,27536878.5,51.332,15100,127.999,60793,0,13181767,1707.563,7.763,42302603,15101,141695550.5,0.001,;3;20;12,2,base,0.000001,102828,0.001,20.906,2,26.477,0.001,
86,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.262,505253825.5,3312562.5,27787416.5,64.158,15055,31.999,59864,0,39780611.5,1717.461,191.93,16536255,15054,343032808.5,0.001,;3;20;12,2,base,0.132449,0.776359202,151.756,20.993,30,26.83,66.225,85
87,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.304,470341402.3,2325876.5,25370116.75,50.096,13092,252.011,34901,0,10431717.5,1713.039,8.148,85805117.75,13088,136422334.8,0.001,;4;11;18,2,base,0.000001,102828,0.001,20.615,2,27.615,0.001,
88,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.281,504601780.5,3418217.5,25588481.5,61.774,13604,12,36997,0,38894518,1718.809,202.271,25538742,13603,386199997.5,0.001,;4;11;18,2,base,0.126286,0.814247027,142.578,21.519,30,1036.353,63.143,87
89,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.314,490551004.5,2702976.5,23461169,53.236,11864,40.001,32902,0,24916413.5,1800.586,7.417,7389867,11864,158461687,0.001,;5;4;6,2,base,0.000001,102828,0.001,21.038,2,26.721,0.001,
90,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.262,425714232.5,3590410.5,22579540,66.162,11281,97,29497,0,49653301.5,1793.496,185.362,52489747,11277,438340003,0.001,;5;4;6,2,base,0.140054,0.734202522,152.701,25.152,28,30.887,70.027,89
91,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.288,416628347,2429723,22664979.5,55.964,11010,86.999,28767,0,11697527,1798.121,7.547,65935740.5,11013,318054837.5,0.001,;6;8;7,2,base,0.000001,102828,0.001,23.062,2,28.819,0.001,
92,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.268,428208178,3451137.5,21402342.5,69.036,10783,36,27937,0,42303091.5,1799.516,193.853,48506623,10784,426717989,0.001,;6;8;7,2,base,0.128284,0.801565277,153.502,20.128,30,25.435,64.142,91
93,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.301,538268020.5,2522135.5,27259460,51.685,14181,2792.099,58107,0,12509655.5,1800.281,7.429,172760273.5,14179,198057074.5,0.001,;7;12;3,2,base,0.000001,102828,0.001,21.715,2,27.019,0.001,
94,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.265,527351440,3484472,28669997.5,63.972,15437,76,58261,0,37419453,1820.656,170.345,125958422.5,15442,382077751,0.001,;7;12;3,2,base,0.138838,0.740632968,172.545,24.543,28,1039.783,69.419,93
