index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,interference_prev,index_prev
3945,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.642,2129772276.0,238633.0,97527201.75,49.059,605,15.0,417518.0,0,2224024.407,908.969,2.108,7338484.5,605,8017595.0,0.001,;19,2,base,0.093,0.989247311828,0.094,17.086,4,23.248,0.046,;19;17,4326.0
3946,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.637,3004116081.0,582570.5,136941580.0,72.556,1187,99.001,582530.0,0,3702328.36,1673.992,4.223,129903650.0,1182,26351802.5,0.001,;19;11,2,base,0.094,0.978723404255,0.095,16.871,4,24.402,0.047,;19;11;17,2655.0
3947,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.642,3254939026.0,531125.5,149956697.5,75.924,1202,874.002,638157.5,0,2778174.598,1678.352,2.102,15303449.5,1203,18640616.0,0.001,;19;13,2,base,0.092,1.0,0.093,18.591,4,24.471,0.046,;19;13;17,3073.0
3948,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.626,3090609162.0,632490.0,142461034.5,74.561,1094,126.996,611126.5,0,5385232.367,1634.23,1.649,8091233.0,1089,25124238.5,0.001,;19;15,2,base,0.093,0.989247311828,0.094,17.548,4,23.337,0.046,;19;15;17,3519.0
3949,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.64,3284521358.0,473778.0,151640136.5,75.469,960,113.953,638729.5,0,3070991.518,1629.887,2.121,10536007.0,960,19287005.0,0.001,;19;16,2,base,0.095,0.968421052632,0.098,17.812,4,24.318,0.048,;19;16;17,3732.0
3950,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.638,3208739150.0,511033.0,147169959.0,74.906,1107,72.0,626680.5,0,3611620.988,1631.402,2.51,6818526.0,1106,25847496.5,0.001,;19;18,2,base,0.096,0.958333333333,0.098,17.413,4,24.545,0.048,;19;18;17,4165.0
3951,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.63,2938401602.0,555791.0,136282553.5,75.0,1142,82.997,574849.0,0,4810224.729,1679.395,2.246,19708910.5,1138,20761802.0,0.001,;19;4,2,base,0.096,0.958333333333,0.097,16.204,4,23.911,0.048,;19;4;17,1055.0
3952,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.639,3133950800.0,511083.5,143188200.5,74.34,1101,35.001,614507.0,0,3075585.283,1679.207,2.661,13352656.5,1096,17535608.0,0.001,;1;1,2,base,0.096,0.958333333333,0.096,18.568,4,24.646,0.048,;1;1;17,1.0
3953,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.632,2938635320.0,631796.5,136710522.5,74.655,1141,82.0,581412.0,0,6458387.438,1683.633,2.058,55319169.0,1139,17063541.5,0.001,;1;14,2,base,0.092,1.0,0.093,17.57,4,24.397,0.046,;1;14;17,3247.0
3954,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.636,3249075354.0,464727.0,149597261.5,75.469,1049,51.0,639613.0,0,2802829.402,1614.715,2.077,21043104.0,1047,16883395.0,0.001,;1;16,2,base,0.094,0.978723404255,0.095,19.514,4,28.613,0.047,;1;16;17,3679.0
