TIMESTAMP,RESPONSE_TIME,EXECUTION_TIME,SERVER_IP,STATE
1482822396087,137.329,101.395,129.59.105.87,3
1482822396290,139.846,100.315,129.59.105.87,3
1482822396486,136.466,100.137,129.59.105.87,3
1482822396692,141.6,100.24,129.59.105.87,3
1482822396893,140.929,99.852,129.59.105.87,3
1482822397093,143.784,99.744,129.59.105.87,3
1482822397300,149.251,99.727,129.59.105.87,3
1482822397507,156.165,113.379,129.59.105.87,3
1482822397734,184.783,147.339,129.59.105.87,3
1482822397938,186.585,148.675,129.59.105.87,3
1482822398093,141.699,100.513,129.59.105.87,3
1482822398299,146.64,100.932,129.59.105.87,3
1482822398499,146.254,100.235,129.59.105.87,3
1482822398744,191.874,149.967,129.59.105.87,3
1482822398888,137.214,100.437,129.59.105.87,3
1482822399090,137.261,100.294,129.59.105.87,3
1482822399288,134.921,99.099,129.59.105.87,3
1482822399499,145.596,99.155,129.59.105.87,3
1482822399695,141.933,100.567,129.59.105.87,3
1482822399921,167.232,125.009,129.59.105.87,3
1482822400147,192.031,149.74,129.59.105.87,3
1482822400327,173.764,133.759,129.59.105.87,3
1482822400509,154.422,111.254,129.59.105.87,3
1482822400738,183.079,137.763,129.59.105.87,3
1482822400897,141.926,100.103,129.59.105.87,3
1482822401101,145.275,101.33,129.59.105.87,3
1482822401298,142.251,100.032,129.59.105.87,3
1482822401495,139.194,102.051,129.59.105.87,3
1482822401701,143.95,100.536,129.59.105.87,3
1482822401896,139.38,99.768,129.59.105.87,3
1482822402109,151.966,111.717,129.59.105.87,3
1482822402345,188.072,146.033,129.59.105.87,3
1482822402543,185.965,151.587,129.59.105.87,3
1482822402709,151.628,112.247,129.59.105.87,3
1482822402899,141.686,99.964,129.59.105.87,3
1482822403099,141.276,99.865,129.59.105.87,3
1482822403302,142.116,99.993,129.59.105.87,3
1482822403497,139.581,99.132,129.59.105.87,3
1482822403699,141.331,100.528,129.59.105.87,3
1482822403900,141.314,99.631,129.59.105.87,3
1482822404099,141.392,102.682,129.59.105.87,3
1482822404303,144.52,98.887,129.59.105.87,3
1482822404495,136.094,99.86,129.59.105.87,3
1482822404699,139.502,99.993,129.59.105.87,3
1482822404899,137.515,99.805,129.59.105.87,3
1482822405098,137.963,100.442,129.59.105.87,3
1482822405303,142.98,99.91,129.59.105.87,3
1482822405506,146.31,100.691,129.59.105.87,3
1482822405701,140.392,99.107,129.59.105.87,3
1482822405905,144.709,99.388,129.59.105.87,3
1482822406102,141.008,100.593,129.59.105.87,3
1482822406300,139.308,100.516,129.59.105.87,3
1482822406509,144.934,99.823,129.59.105.87,3
1482822406705,143.547,100.051,129.59.105.87,3
1482822406902,140.015,99.772,129.59.105.87,3
1482822407109,146.931,99.158,129.59.105.87,3
1482822407300,138.542,100.45,129.59.105.87,3
1482822407503,141.145,100.052,129.59.105.87,3
1482822407702,139.939,101.491,129.59.105.87,3
1482822407902,140.77,100.053,129.59.105.87,3
1482822408106,141.132,101.663,129.59.105.87,3
1482822408315,151.637,110.791,129.59.105.87,3
1482822408508,145.375,100.939,129.59.105.87,3
1482822408703,139.94,99.011,129.59.105.87,3
1482822408906,141.81,102.01,129.59.105.87,3
1482822409107,142.632,100.226,129.59.105.87,3
1482822409305,140.656,100.319,129.59.105.87,3
1482822409508,143.576,100.103,129.59.105.87,3
1482822409706,139.931,100.892,129.59.105.87,3
1482822409937,172.833,129.815,129.59.105.87,3
1482822410143,177.793,137.443,129.59.105.87,3
1482822410300,135.078,99.385,129.59.105.87,3
1482822410505,139.736,101.105,129.59.105.87,3
1482822410711,145.108,98.997,129.59.105.87,3
1482822410907,141.747,98.91,129.59.105.87,3
1482822411106,140.795,100.342,129.59.105.87,3
1482822411307,139.144,99.111,129.59.105.87,3
1482822411510,143.366,100.952,129.59.105.87,3
1482822411704,138.561,99.038,129.59.105.87,3
1482822411906,139.024,99.221,129.59.105.87,3
1482822412107,140.324,100.405,129.59.105.87,3
1482822412304,139.014,99.129,129.59.105.87,3
1482822412510,142.911,100.119,129.59.105.87,3
1482822412706,138.601,99.704,129.59.105.87,3
1482822412910,138.849,99.484,129.59.105.87,3
1482822413109,141.132,101.387,129.59.105.87,3
1482822413305,136.943,99.689,129.59.105.87,3
