Time,Min hop D,Min hop A,Least loaded,CDC,INDICES 2D,INDICES 2A,INDICES 3B,SLO
104,200.50875,166.53525,229.85825,288.554,177.29375,119.23525,160.2905,200
105,197.50775,200.243,219.83025,285.8046667,177.91,131.67075,156.057,200
106,194.47125,237.2535,210.54475,281.4755,177.815,134.22175,168.822,200
107,207.511,206.80075,222.3625,292.9573333,176.21125,137.45425,154.86825,200
108,196.5865,179.649,212.018,283.6916667,176.6235,124.0065,148.49825,200
109,194.68675,184.1765,220.51475,288.1085,176.681,109.27325,148.31725,200
110,193.4775,168.87675,218.69125,281.4313333,177.22975,118.49,146.4245,200
111,198.49725,166.05125,222.256,279.79225,177.28325,117.36,144.129,200
112,193.3385,168.5535,223.622,281.324,176.72175,139.7635,144.55175,200
113,202.19725,168.567,225.18575,303.3793333,178.241,126.32475,145.99125,200
114,205.789,191.383,215.43225,299.4565,179.348,115.03975,144.55675,200
115,197.82,215.1015,214.85675,297.7293333,176.20475,111.309,143.009,200
116,195.91975,193.604,221.13925,295.261,177.51075,127.9485,148.33525,200
117,197.0795,228.1375,219.4405,308.18025,178.69425,130.1785,159.766,200
118,199.013,175.54775,220.927,297.556,178.94575,118.1335,176.4245,200
119,196.81475,168.82175,223.283,284.9056667,177.906,129.07,144.33175,200
120,199.17125,168.44175,220.761,299.92125,177.45675,114.31075,147.84,200
121,198.232,193.43075,220.20175,286.293,177.44025,114.64,143.55175,200
122,200.51075,196.9366667,220.6745,285.4126667,177.439,115.79525,146.377,200
123,198.329,209.1065,223.2085,284.93475,178.254,122.261,149.578,200
124,195.83325,191.9886,217.35525,280.7963333,179.379,115.4955,146.73225,200
125,199.817,230.44,216.66575,283.27825,179.03525,112.16625,149.885,200
126,198.27075,208.67775,222.05,289.339,180.1665,114.3705,147.60625,200
127,197.71025,199.46175,220.34575,284.32225,178.90675,119.5955,145.5355,200
128,201.43225,239.11625,217.4685,281.575,177.1685,133.88925,184.2015,200
129,198.724,213.2342,227.7045,282.87925,179.40325,124.8115,167.70975,200
130,197.045,196.394,222.76875,288.837,178.997,136.7515,145.13375,200
131,198.3365,169.04575,223.58275,283.47425,179.01,113.14075,147.5415,200
132,199.28625,192.729,220.4125,278.8846667,180.73775,131.99675,144.19775,200
133,195.6445,204.2814,217.47575,287.9176667,179.471,137.09775,145.3195,200
134,195.72125,204.944,225.83125,290.63425,177.59575,116.48225,166.49,200
135,197.395,188.7804,216.27625,288.9156667,177.1065,137.95175,162.4285,200
136,193.6755,167.3045,213.682,280.20825,175.16575,120.585,149.785,200
137,200.12075,166.10725,220.6715,286.841,174.58975,118.44375,148.969,200
138,193.03675,165.65425,210.25825,286.5245,174.12,122.974,144.2825,200
139,191.782,165.6895,230.2255,282.566,175.2145,111.6785,140.712,200
140,187.99775,166.02025,223.6205,291.1326667,174.91325,113.76825,139.49225,200
141,189.70725,166.1465,211.989,280.886,173.2365,119.53675,143.56875,200
142,188.082,164.3335,210.65675,279.238,171.711,120.14,140.49125,200
143,191.449,163.56875,215.00175,279.06625,172.36375,134.22975,140.32475,200
144,188.909,165.058,216.0905,293.4963333,171.3455,116.932,141.7815,200
145,190.0745,176.3958,211.536,282.6705,173.255,113.78325,143.066,200
146,191.78275,163.15725,217.3615,281.528,173.79275,127.11825,140.356,200
147,186.748,164.87975,210.9185,286.97375,171.0295,140.882,142.55425,200
148,185.0735,166.3175,210.99975,289.4466667,171.4825,123.03225,158.40925,200
149,197.88875,188.415,221.0435,285.66725,171.4855,125.66,143.55675,200
150,187.1135,187.4566667,216.47625,292.4123333,171.69025,116.91725,140.53675,200
151,191.155,231.23625,212.5765,295.3766667,172.73575,141.97875,161.11025,200
152,191.82975,176.7002,216.6435,286.43725,171.58125,124.3295,155.9045,200
153,190.49375,165.69925,219.496,289.964,172.7395,114.30675,141.23675,200
154,190.47325,187.2466667,212.3815,293.4593333,171.72275,115.68375,144.5415,200
155,189.26725,174.8784,220.291,285.94875,171.675,110.2205,144.01175,200
156,193.577,164.778,214.58925,285.389,172.692,111.1365,142.09625,200
157,203.65675,165.00725,215.556,282.948,171.84225,121.853,142.70325,200
158,185.49525,164.3685,215.5265,279.391,171.84425,121.1425,143.89575,200
159,191.46325,189.5826667,217.5205,287.99625,171.63225,120.60425,140.52475,200
160,191.9405,178.0936,212.6455,277.0966667,170.52775,126.02625,145.5655,200
161,197.586,164.5875,216.7425,276.7875,173.2985,108.25775,151.32175,200
162,189.73675,164.5085,214.519,284.2183333,171.02275,114.834,179.21425,200
163,187.824,180.2713333,219.6645,284.60825,170.52625,107.86,148.2265,200
164,188.529,208.0715,213.2855,286.198,172.1105,114.627,138.609,200
165,195.80125,202.2904,214.31325,281.0185,173.08925,106.6755,138.7195,200
166,186.11125,170.63925,215.994,285.6886667,171.192,112.35,173.718,200
167,190.805,164.8436667,214.3615,280.41375,171.9255,111.6145,139.32075,200
168,187.96625,177.0568,222.94225,276.422,172.10925,116.37475,142.68425,200
169,192.0315,164.2505,229.091,280.73225,170.56025,107.06025,141.849,200
170,193.0325,166.05,218.16225,279.6483333,170.35575,119.53125,141.072,200
171,189.51425,192.3406667,216.833,273.68,170.0165,129.34625,136.79875,200
172,190.76925,197.6798,208.8555,279.01,172.07575,128.6255,153.217,200
173,196.568,210.2123333,214.5025,278.2695,171.533,107.05575,141.072,200
174,193.21075,205.0215,217.751,285.5736667,168.33275,110.98125,142.87575,200
175,188.28075,191.6334,217.8405,267.8525,170.8815,107.7775,138.5525,200
176,187.6535,163.01625,208.76,277.057,169.76675,119.31325,141.41875,200
177,188.95625,163.66575,215.20775,273.23275,170.211,112.07525,143.427,200
178,192.54725,164.15675,218.055,269.5905,170.74825,110.29275,148.62475,200
179,189.93875,163.20475,216.338,278.7363333,170.53575,116.504,159.375,200
180,189.758,205.943,217.24425,271.44,170.8165,108.5895,149.71575,200
181,187.6095,207.0486667,218.0755,274.8656667,171.869,117.85575,140.73075,200
182,188.5135,207.6705,222.93375,273.33375,171.30575,131.783,142.99925,200
183,190.94925,202.24,204.81925,276.635,172.666,118.0905,138.155,200
184,187.5345,180.77175,218.84025,273.8586667,172.12125,120.1495,138.23675,200
185,195.748,164.7216667,216.49125,276.475,172.26925,127.184,141.114,200
186,192.12025,188.8755,217.6985,276.4796667,170.646,123.3745,163.83725,200
187,187.46,223.7455,204.46225,282.9445,172.7035,109.88925,163.2175,200
188,192.2425,219.67,210.03925,277.5226667,171.69375,109.0765,166.01375,200
189,191.3115,210.42675,213.98775,273.435,170.95,122.65925,180.13325,200
190,185.7985,215.38825,214.056,277.4826667,171.96825,117.015,159.1515,200
191,193.9735,186.28725,217.8665,269.722,171.375,105.6035,161.06975,200
192,185.75325,176.897,206.61325,275.42275,170.68425,110.047,145.79625,200
193,187.7785,162.867,213.5625,270.257,169.53625,106.54125,140.14575,200
194,186.633,165.1085,205.396,271.9855,169.356,111.2925,141.4125,200
195,189.01225,164.795,215.751,283.8363333,173.65125,136.63775,144.55725,200
196,188.86225,187.57775,214.2335,270.66825,170.7405,115.65075,148.6805,200
197,191.49775,163.9745,211.234,273.966,171.8585,113.63075,152.14775,200
198,188.41575,167.076,208.90475,272.162,171.59525,116.39275,140.30475,200
199,190.32125,165.8,216.72625,272.965,170.15725,113.7985,145.839,200
200,191.6705,184.0345,215.05675,278.4893333,172.4595,112.31475,141.84725,200
201,187.49175,213.344,225.017,279.366,171.98625,128.85675,142.2225,200
202,191.03575,205.65675,214.2315,270.2063333,171.4525,121.78125,144.48375,200
203,189.629,202.20725,213.0565,273.82975,170.658,120.92925,142.02525,200
204,188.284,198.65775,222.09875,273.22175,170.0655,121.10125,143.85075,200
205,189.05075,196.23425,214.5015,276.3576667,171.80925,107.6585,148.72075,200
206,197.2345,164.81575,217.01525,273.7465,172.6795,115.49325,140.21575,200
207,188.034,189.62425,219.20925,270.975,171.4165,108.9645,144.64825,200
208,188.27775,210.14725,207.18775,276.27475,170.68675,115.63025,143.2775,200
209,187.60075,201.441,213.259,267.4105,170.952,110.0455,140.38875,200
210,187.17275,212.3575,206.325,477.046,171.7355,110.9595,140.91125,200
211,187.78925,206.21775,215.763,269.0866667,171.6715,127.936,141.1385,200
212,188.57725,190.55575,212.40825,277.018,171.035,117.7065,139.48725,200
213,197.2885,197.1955,206.636,266.353,170.98,105.4155,136.54025,200
214,189.1485,180.904,211.0855,285.27125,169.3475,106.2005,149.329,200
215,188.3505,220.26925,216.6895,277.3735,170.14825,119.638,168.5715,200
216,187.86625,189.58625,213.75025,267.0166667,169.88075,135.422,149.312,200
217,188.3955,171.55625,207.80025,272.8275,172.9645,105.98875,160.37575,200
218,188.77025,205.687,215.27325,270.821,171.018,116.4805,145.2525,200
219,188.7945,219.8975,210.19975,267.30475,170.54775,115.62625,143.2,200
220,189.81425,217.09025,222.82575,276.637,171.868,112.33975,141.645,200
221,190.571,166.43775,213.75125,277.3633333,171.8645,111.96525,142.932,200
222,191.0405,199.11825,214.3485,274.02,170.7645,117.88775,142.3765,200
223,194.38725,202.64825,223.211,268.6143333,171.0045,114.91675,143.30625,200
224,189.00175,181.5265,213.2825,271.83725,170.599,122.5985,141.50225,200
225,199.4985,224.77025,207.92,269.623,171.60325,105.3105,142.30625,200
226,187.80775,235.121,214.87375,265.5736667,169.49925,111.1225,155.61975,200
227,188.7785,197.58275,223.776,269.6435,170.6445,106.3235,145.613,200
228,187.65275,194.18875,219.2945,266.89475,171.07825,113.6935,144.7885,200
229,201.6255,205.4925,216.0065,273.0213333,171.394,125.34325,161.9785,200
230,190.07825,209.5545,215.217,267.91375,172.4805,118.039,164.78925,200
231,191.2215,164.4705,217.75875,277.012,171.21075,124.23075,142.47925,200
232,191.083,165.10125,212.8695,269.06225,172.1785,116.289,146.00275,200
233,192.2695,167.0405,210.1905,279.47375,172.2505,110.60275,144.42125,200
234,191.78275,184.42075,218.92975,269.7316667,174.632,114.6695,144.2905,200
235,197.219,222.33375,211.552,279.88025,173.27825,109.41775,143.168,200
236,192.47,221.7215,219.58,266.3306667,172.04075,116.39975,150.45725,200
237,197.453,164.29025,217.17925,285.07975,172.394,107.428,145.9265,200
238,191.325,166.43325,214.45375,272.8783333,170.84575,108.81725,158.78225,200
239,193.67475,165.136,215.058,276.99675,170.28,119.43775,152.71125,200
240,189.355,165.96425,222.7005,281.2223333,171.74575,114.603,149.5555,200
241,191.3465,170.4685,215.513,273.54575,170.438,105.844,146.03225,200
242,188.7395,201.01575,212.05125,270.49575,170.05475,119.16125,142.09925,200
243,189.41375,213.2885,220.28675,278.961,171.463,132.16825,143.6285,200
244,195.6175,236.98625,206.821,273.57975,169.7005,117.392,157.8545,200
245,191.44975,187.221,218.321,265.91025,171.3065,138.3765,157.084,200
246,194.6265,163.9885,221.07975,266.9513333,170.34975,120.36,144.3745,200
247,192.637,171.9055,221.163,266.96425,171.624,107.38825,145.53325,200
248,188.4455,222.4465,217.88225,268.00425,170.39075,125.39625,142.4945,200
249,190.91725,163.19825,208.656,276.4723333,167.612,126.7815,146.35125,200
250,191.0635,170.67075,219.16225,270.01875,169.374,115.159,143.092,200
251,191.7845,231.00225,211.332,272.1553333,170.9395,133.275,145.38775,200
252,195.3805,235.035,214.87525,270.40975,170.804,111.48325,145.393,200
253,194.85425,205.6595,221.70725,271.0355,169.47725,108.98725,145.5425,200
254,191.21275,211.5435,216.60675,264.554,169.6835,133.5385,158.76375,200
255,199.89275,173.15475,212.25525,268.606,168.82625,135.16975,148.2765,200
256,195.06725,164.63075,215.84525,273.5963333,169.96325,127.84225,147.17,200
